cnae,descricao,anexos,pode_ser_simples,pode_ser_mei
1012101,Abate de aves,"I, II",Sim,Sim
1012102,Abate de pequenos animais,"I, II",Sim,Não
1531902,Acabamento de calçados de couro sob contrato,"II, III",Sim,Sim
5231101,Administração da infraestrutura portuária,V,Sim,Não
8550301,Administração de caixas escolares,,Não,Não
6613400,Administração de cartões de crédito,V,Sim,","
6493000,Administração de consórcios para aquisição de bens e direitos,V,Sim,Não
6611804,Administração de mercados de balcão organizados,,Não,Não
4399101,Administração de obras,V,Sim,Não
8411600,Administração pública em geral,,Não,Não
5250803,"Agenciamento de cargas, exceto para o transporte marítimo",V,Sim,Não
7312200,"Agenciamento de espaços para publicidade, exceto em veículos de comunicação","V, V, III",Sim,Não
7490105,"Agenciamento de profissionais para atividades esportivas, culturais e artísticas",V,Sim,Não
6434400,Agências de fomento,,Não,Não
6391700,Agências de notícias,III,Sim,Não
7311400,Agências de publicidade,V,Sim,Não
7911200,Agências de viagens,III,Sim,Sim
9609202,Agências matrimoniais,III,Sim,Sim
6911703,Agente de propriedade industrial,V,Sim,Não
6612605,Agentes de investimentos em aplicações financeiras,,Não,Não
8730102,Albergues assistenciais,III,Sim,Não
5590601,"Albergues, exceto assistenciais",III,Sim,Sim
9609207,Alojamento de animais domésticos,III,Sim,Sim
7732202,Aluguel de andaimes,III,Sim,Sim
7729201,Aluguel de aparelhos de jogos eletrônicos,III,Sim,Sim
7739002,"Aluguel de equipamentos científicos, médicos e hospitalares, sem operador",III,Sim,Sim
7721700,Aluguel de equipamentos recreativos e esportivos,III,Sim,Sim
7722500,"Aluguel de fitas de vídeo, DVDs e similares",III,Sim,Sim
6810202,Aluguel de imóveis próprios,,Não,Não
7731400,Aluguel de máquinas e equipamentos agrícolas sem operador,III,Sim,Sim
7732201,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",III,Sim,Sim
7733100,Aluguel de máquinas e equipamentos para escritório,III,Sim,Sim
7739001,"Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador",III,Sim,Não
7729203,Aluguel de material médico,III,Sim,Sim
7729202,"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais",III,Sim,Sim
7723300,"Aluguel de objetos do vestuário, jóias e acessórios",III,Sim,Sim
7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",III,Sim,Sim
7729299,Aluguel de outros objetos pessoais e domésticos não especificados anteriormente,III,Sim,Sim
7739003,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",III,Sim,Sim
1340502,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário","II, III",Sim,Não
2391502,"Aparelhamento de pedras para construção, exceto associado à extração",II,Sim,Sim
2391503,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",II,Sim,Sim
5510802,Aparthotéis,III,Sim,Não
0159801,Apicultura,"I, II",Sim,Sim
4330405,Aplicação de revestimentos e de resinas em interiores e exteriores,"III, IV",Sim,Sim
5211701,Armazéns gerais emissão de warrant,III,Sim,Não
6440900,Arrendamento mercantil,,Não,Não
9001999,"Artes cênicas, espetáculos e atividades complementares não especificados anteriormente",III,Sim,Não
6435202,Associações de poupança e empréstimo,,Não,Não
8630502,Atividade médica ambulatorial com recursos para realização de exames complementares,III,Sim,Não
