CNAE;RAT;FPAS;Descrição da atividade
0500301;2,00%;507;Extração de carvão mineral
0500302;2,00%;507;Beneficiamento de carvão mineral
0600001;2,00%;507;Extração de petróleo e gás natural
0600002;2,00%;507;Extração e beneficiamento de xisto
0600003;2,00%;507;Extração e beneficiamento de areias betum inosas
0710301;2,00%;507;Extração de minério de ferro
0710302;2,00%;507;Pelotização, sinterização e outros benefi ciamentos de minério de ferro
0721901;2,00%;507;Extração de minério de alumínio
0721902;2,00%;507;Beneficiamento de minério de alumínio
0722701;2,00%;507;Extração de minério de estanho
0722702;2,00%;507;Beneficiamento de minério de estanho
0723501;2,00%;507;Extração de minério de manganês
0723502;2,00%;507;Beneficiamento de minério de manganês
0724301;2,00%;507;Extração de minério de metais preciosos
0724302;2,00%;507;Beneficiamento de minério de metais preci osos
0725100;2,00%;507;Extração de minerais radioativos
0729401;2,00%;507;Extração de minérios de nióbio e titânio
0729402;2,00%;507;Extração de minério de tungstênio
0729403;2,00%;507;Extração de minério de níquel
0729404;2,00%;507;Extração de minérios de cobre, chumbo, zi nco e outros minerais metálicos
0729405;2,00%;507;Beneficiamento de minérios de cobre, chum bo, zinco e outros minerais
0810001;2,00%;507;Extração de ardósia e beneficiamento asso ciado
0810002;2,00%;507;Extração de granito e beneficiamento asso ciado
0810003;2,00%;507;Extração de mármore e beneficiamento asso ciado
0810004;2,00%;507;Extração de calcário e dolomita e benefic iamento associado
0810005;2,00%;507;Extração de gesso e caulim
0810006;2,00%;507;Extração de areia, cascalho ou pedregulho  e beneficiamento associado
0810007;2,00%;507;Extração de argila e beneficiamento assoc iado
0810008;2,00%;507;Extração de saibro e beneficiamento assoc iado
0810009;2,00%;507;Extração de basalto e beneficiamento asso ciado
0810010;2,00%;507;Beneficiamento de gesso e caulim associad o à extração
0810099;2,00%;507;Extração e britamento de pedras e outros materiais para construção e
0891600;2,00%;507;Extração de minerais para fabricação de a dubos, fertilizantes e outros
0892401;2,00%;507;Extração de sal marinho
0892402;2,00%;507;Extração de sal-gema
0892403;2,00%;507;Refino e outros tratamentos do sal
0893200;2,00%;507;Extração de gemas (pedras preciosas e sem ipreciosas)
0899101;2,00%;507;Extração de grafita
0899102;2,00%;507;Extração de quartzo
0899103;2,00%;507;Extração de amianto
0899199;2,00%;507;Extração de outros minerais não-metálicos  não especificados anteriormente
0910600;2,00%;507;Atividades de apoio à extração de petróle o e gás natural
0990401;2,00%;507;Atividades de apoio à extração de minério  de ferro
0990402;2,00%;507;Atividades de apoio à extração de minerai s metálicos não-ferrosos
0990403;2,00%;507;Atividades de apoio à extração de minerai s não-metálicos
1011201;3,00%;507;Frigorífico - abate de bovinos (setor ind ustrial)
1011202;3,00%;507;Frigorífico - abate de eqüinos (setor ind ustrial)
1011203;3,00%;507;Frigorífico - abate de ovinos e caprinos (setor industrial)
1011204;3,00%;507;Frigorífico - abate de bufalinos (setor i ndustrial)
1012101;3,00%;507;Abate de aves (setor industrial)
1012102;3,00%;507;Abate de pequenos animais(setor industria l)
1012103;3,00%;507;Frigorífico - abate de suínos (setor indu strial)
1013901;3,00%;507;Fabricação de produtos de carne
1013902;3,00%;507;Preparação de subprodutos do abate
1020101;2,00%;507;Preservação de peixes, crustáceos e molus cos
1020102;2,00%;507;Fabricação de conservas de peixes, crustá ceos e moluscos
1031700;2,00%;507;Fabricação de conservas de frutas - indús tria
1032501;2,00%;507;Fabricação de conservas de palmito - indú stria
1032599;2,00%;507;Fabricação de conservas de legumes e outr os vegetais - indústria
1033301;2,00%;507;Fabricação de sucos concentrados de fruta s, hortaliças e legumes - ind
1033302;2,00%;507;Fabricação de sucos de frutas, hortaliças  e legumes - indústria
1041400;2,00%;507;Fabricação de óleos vegetais em bruto, ex ceto óleo de milho - indústria
1042200;2,00%;507;Fabricação de óleos vegetais refinados, e xceto óleo de milho - indústria
1043100;2,00%;507;Fabricação de margarina e outras gorduras  vegetais e de óleos não-
1053800;2,00%;507;Fabricação de sorvetes e outros gelados c omestíveis
1061902;2,00%;507;Fabricação de produtos do arroz - indústr ia
1066000;2,00%;507;Fabricação de alimentos para animais
1091100;2,00%;507;Fabricação de produtos de panificação
1092900;2,00%;507;Fabricação de biscoitos e bolachas
1093701;2,00%;507;Fabricação de produtos derivados do cacau  e de chocolates - indústria
1093702;2,00%;507;Fabricação de frutas cristalizadas, balas  e semelhantes
1094500;2,00%;507;Fabricação de massas alimentícias
1095300;2,00%;507;Fabricação de especiarias, molhos, temper os e condimentos
1096100;2,00%;507;Fabricação de alimentos e pratos prontos
1099601;2,00%;507;Fabricação de vinagres
1099602;2,00%;507;Fabricação de pós alimentícios
1099603;2,00%;507;Fabricação de fermentos e leveduras
1099604;2,00%;507;Fabricação de gelo comum
1099606;2,00%;507;Fabricação de adoçantes naturais e artifi ciais
1099699;2,00%;507;Fabricação de outros produtos alimentício s não especificados anteriormente
