CNAE;RAT;FPAS;Descrição da atividade
050030;2,00%;507;Extração de carvão mineral
050030;2,00%;507;Beneficiamento de carvão mineral
060000;2,00%;507;Extração de petróleo e gás natural
060000;2,00%;507;Extração e beneficiamento de xisto
060000;2,00%;507;Extração e beneficiamento de areias betum inosas
071030;2,00%;507;Extração de minério de ferro
071030;2,00%;507;Pelotização, sinterização e outros benefi ciamentos de minério de ferro
072190;2,00%;507;Extração de minério de alumínio
072190;2,00%;507;Beneficiamento de minério de alumínio
072270;2,00%;507;Extração de minério de estanho
072270;2,00%;507;Beneficiamento de minério de estanho
072350;2,00%;507;Extração de minério de manganês
072350;2,00%;507;Beneficiamento de minério de manganês
072430;2,00%;507;Extração de minério de metais preciosos
072430;2,00%;507;Beneficiamento de minério de metais preci osos
072510;2,00%;507;Extração de minerais radioativos
072940;2,00%;507;Extração de minérios de nióbio e titânio
072940;2,00%;507;Extração de minério de tungstênio
072940;2,00%;507;Extração de minério de níquel
072940;2,00%;507;Extração de minérios de cobre, chumbo, zi nco e outros minerais metálicos
072940;2,00%;507;Beneficiamento de minérios de cobre, chum bo, zinco e outros minerais
081000;2,00%;507;Extração de ardósia e beneficiamento asso ciado
081000;2,00%;507;Extração de granito e beneficiamento asso ciado
081000;2,00%;507;Extração de mármore e beneficiamento asso ciado
081000;2,00%;507;Extração de calcário e dolomita e benefic iamento associado
081000;2,00%;507;Extração de gesso e caulim
081000;2,00%;507;Extração de areia, cascalho ou pedregulho  e beneficiamento associado
081000;2,00%;507;Extração de argila e beneficiamento assoc iado
081000;2,00%;507;Extração de saibro e beneficiamento assoc iado
081000;2,00%;507;Extração de basalto e beneficiamento asso ciado
081001;2,00%;507;Beneficiamento de gesso e caulim associad o à extração
081009;2,00%;507;Extração e britamento de pedras e outros materiais para construção e
089160;2,00%;507;Extração de minerais para fabricação de a dubos, fertilizantes e outros
089240;2,00%;507;Extração de sal marinho
089240;2,00%;507;Extração de sal-gema
089240;2,00%;507;Refino e outros tratamentos do sal
089320;2,00%;507;Extração de gemas (pedras preciosas e sem ipreciosas)
089910;2,00%;507;Extração de grafita
089910;2,00%;507;Extração de quartzo
089910;2,00%;507;Extração de amianto
089919;2,00%;507;Extração de outros minerais não-metálicos  não especificados anteriormente
091060;2,00%;507;Atividades de apoio à extração de petróle o e gás natural
099040;2,00%;507;Atividades de apoio à extração de minério  de ferro
099040;2,00%;507;Atividades de apoio à extração de minerai s metálicos não-ferrosos
099040;2,00%;507;Atividades de apoio à extração de minerai s não-metálicos
